id_pdc                , statut_pdc               , url_description_pdc                                                                                                                                                                                                                                                                                                             , last_updated             , coordonneesxy         , adresse_station                                  , code_insee_commune, arrondissement
FR*V75*EPX17*13*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX17*13*3     , 2025-09-25T02:30:05+00:00, "48.8935, 2.3148"     , 181 quater Avenue de Clichy 75017 Paris          ,                   , 17e Arrondissement
FR*V75*EPX15*24*4     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX15*24*4     , 2025-09-25T02:30:05+00:00, "48.8483, 2.301"      , 139 Boulevard de Grenelle 75015 Paris            ,                   , 15e Arrondissement
FR*V75*EPX20*09*6     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*09*6     , 2025-09-25T02:30:05+00:00, "48.8731, 2.4092"     , 6 Rue Guébriant 75020 Paris                      ,                   , 20e Arrondissement
FR*V75*EPX19*07*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX19*07*2     , 2025-09-25T02:30:05+00:00, "48.8792, 2.3839"     , 50 Rue Botzaris 75019 Paris                      ,                   , 19e Arrondissement
FR*V75*EPX09*06*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX09*06*2     , 2025-09-25T02:30:05+00:00, "48.87359, 2.3466527" , 13 Rue du conservatoire 75009 Paris              ,                   , 09e Arrondissement
FR*V75*EPX02*05*2     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX02*05*2     , 2025-09-25T02:30:05+00:00, "48.86502, 2.344388"  , 36 Rue Etienne Marcel 75002 Paris                ,                   , Paris centre
FR*V75*EPX01*04*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX01*04*2     , 2025-09-25T02:30:05+00:00, "48.86486, 2.3329713" , 12 Rue des Pyramides 75001 Paris                 ,                   , Paris centre
FR*V75*EPX16*08*4     , En maintenance           , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX16*08*4     , 2025-09-25T02:30:05+00:00, "48.850754, 2.2739246", 14 Avenue Théophile Gauthier 75016 Paris         ,                   , 16e Arrondissement
FR*V75*EPX15*13*4     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX15*13*4     , 2025-09-25T02:30:05+00:00, "48.838547, 2.312675" , 29 Rue Cotentin 75015 Paris                      ,                   , 15e Arrondissement
FR*V75*EPX20*04*4     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*04*4     , 2025-09-25T02:30:05+00:00, "48.86536, 2.405207"  , 5 bis Rue du Capitaine Ferber 75020 Paris        ,                   , 20e Arrondissement
FR*V75*EPX06*02*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX06*02*3     , 2025-09-25T02:30:05+00:00, "48.85262, 2.342107"  , 8 Rue Danton 75006 Paris                         ,                   , 06e Arrondissement
FR*V75*E9020*05*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9020*05*3     , 2025-09-25T02:30:05+00:00, "48.863766, 2.41177"  , 104 Rue Louis Lumière 75020 Paris                ,                   , 20e Arrondissement
FR*V75*E9017*03*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9017*03*3     , 2025-09-25T02:30:05+00:00, "48.88569, 2.297463"  , 4 Avenue Gourgaud 75017 Paris                    ,                   , 17e Arrondissement
FR*V75*E9016*09*1     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*09*1     , 2025-09-25T02:30:05+00:00, "48.84676, 2.268339"  , 2 Rue Chardon Lagache 75016 Paris                ,                   , 16e Arrondissement
FR*V75*E9015*01*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9015*01*2     , 2025-09-25T02:30:05+00:00, "48.846214, 2.279884" , 18 Avenue Emile Zola 75015 Paris                 ,                   , 15e Arrondissement
FR*V75*E9014*02*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9014*02*3     , 2025-09-25T02:30:05+00:00, "48.824387, 2.336857" , 46 Avenue Reille 75014 Paris                     ,                   , 14e Arrondissement
FR*V75*E9006*01*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9006*01*2     , 2025-09-25T02:30:05+00:00, "48.85246, 2.341483"  , 7 Rue Danton 75006 Paris                         ,                   , 06e Arrondissement
FR*V75*E9004*02*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9004*02*2     , 2025-09-25T02:30:05+00:00, "48.85023, 2.3615763" , 44 Quai Henri IV 75004 Paris                     ,                   , Paris centre
FR*V75*EPX20*01*2     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*01*2     , 2025-09-25T06:08:17+00:00, "48.85006, 2.4019644" , 25 Rue de la Plaine 75020 Paris                  ,                   , 20e Arrondissement
FR*V75*EPX13*01*2     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX13*01*2     , 2025-09-25T06:06:51+00:00, "48.826855, 2.3665764", 77 Rue Nationale 75013 Paris                     ,                   , 13e Arrondissement
FR*V75*EPX16*16*4     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX16*16*4     , 2025-09-25T06:35:15+00:00, "48.863, 2.2858"      , 1 Avenue Georges Mandel 75016 Paris              ,                   , 16e Arrondissement
FR*V75*EPX01*05*4     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX01*05*4     , 2025-09-25T06:37:12+00:00, "48.862465, 2.3393006", 4 Rue des Croix des Petits Champs 75001 Paris    ,                   , Paris centre
